haksu_cd,sigan,gwamok_kname,hakjum,prof_name,params,over_flag,isu_name,abeek,gwamok_no,haknyun,rowid,gyoyuk_gwajung_gb,jojik_gb
AS287,화 6 7 8,특허와기술개발,3,박찬정,01@0476@00000,<span style=color:red>초과</span>,과학,Y,0476, ,1,01,A1000
AS287,수 1 2 3,특허와기술개발,3,박찬정,01@0477@00000,<span style=color:red>초과</span>,과학,Y,0477, ,2,01,A1000
AS287,수 6 7 8,특허와기술개발,3,박찬정,01@0478@00000,<span style=color:red>초과</span>,과학,Y,0478, ,3,01,A1000
AS287,목 1 2 3,특허와기술개발,3,박찬정,01@0479@00000,<span style=color:red>초과</span>,과학,Y,0479, ,4,01,A1000
AS287,목 6 7 8,특허와기술개발,3,박찬정,01@0480@00000,<span style=color:red>초과</span>,과학,Y,0480, ,5,01,A1000
AS916,화 1 2 3,공학윤리,3,조극훈,01@0481@00000,<span style=color:red>초과</span>,과학,Y,0481, ,1,01,A1000
AS916,수 1 2 3,공학윤리,3,조극훈,01@0482@00000,<span style=color:red>초과</span>,과학,Y,0482, ,2,01,A1000
AS916,금 1 2 3,공학윤리,3,&nbsp;,01@0483@00000,<span style=color:red>초과</span>,과학,Y,0483, ,3,01,A1000
AS916,수 1 2 3,공학윤리,3,&nbsp;,01@0484@00000,<span style=color:red>초과</span>,과학,Y,0484, ,4,01,A1000
AS916,화 1 2 3,공학윤리,3,장운혁,01@0485@00000,<span style=color:red>초과</span>,과학,Y,0485, ,5,01,A1000
AS916,화 6 7 8,공학윤리,3,장운혁,01@0486@00000,<span style=color:red>초과</span>,과학,Y,0486, ,6,01,A1000
AS916,금 6 7 8,공학윤리,3,&nbsp;,01@1855@00000,,과학,,1855, ,7,01,A1000
DD032,월 1 2 3,C프로그래밍기초,3,권준희,01@1228@00000,,컴터,Y,1228,1,1,01,A1000
DD032,수 1 2 3,C프로그래밍기초,3,권준희,01@1229@00000,,컴터,Y,1229,1,2,01,A1000
DD032,목 6 7 8,C프로그래밍기초,3,윤익준,01@1230@00000,,컴터,Y,1230,1,3,01,A1000
DD032,금 6 7 8,C프로그래밍기초,3,박정민,01@1231@00000,,컴터,Y,1231,1,4,01,A1000
DD032,화 6 7 8,C프로그래밍기초,3,강성관,01@1232@00000,,컴터,Y,1232,1,5,01,A1000
DD750,월 1 2 3,자바프로그래밍,3,임현기,01@1233@00000,,전선,Y,1233,2,6,01,A1000
DD750,목 6 7 8,자바프로그래밍,3,임현기,01@1234@00000,,전선,Y,1234,2,7,01,A1000
DD750,화 6 7 8,자바프로그래밍,3,전준철,01@1235@00000,<span style=color:red>초과</span>,전선,Y,1235,2,8,01,A1000
DD750,금 1 2 3,자바프로그래밍,3,오은성,01@1236@00000,<span style=color:red>초과</span>,전선,Y,1236,2,9,01,A1000
DD750,금 6 7 8,자바프로그래밍,3,오은성,01@1237@00000,<span style=color:red>초과</span>,전선,Y,1237,2,10,01,A1000
DD845,금 6 7 8,컴퓨터공학기초캡스톤디자인,3,나관상,01@1238@00000,<span style=color:red>초과</span>,전필,Y,1238,3,11,01,A1000
DD313,월 6 7 8,인공지능,3,김인철,01@1239@00000,<span style=color:red>초과</span>,전선,Y,1239,3,12,01,A1000
DD313,화 6 7 8,인공지능,3,김인철,01@1240@00000,<span style=color:red>초과</span>,전선,Y,1240,3,13,01,A1000
DD316,수 6 7 8,소프트웨어공학,3,권기현,01@1241@00000,<span style=color:red>초과</span>,전선,Y,1241,3,14,01,A1000
DD724,목 1 2 3,운영체제,3,이병대,01@1243@00000,<span style=color:red>초과</span>,전선,Y,1243,3,15,01,A1000
DD724,화 6 7 8,운영체제,3,이병대,01@1244@00000,<span style=color:red>초과</span>,전선,Y,1244,3,16,01,A1000
DD724,수 1 2 3,운영체제,3,이병대,01@1245@00000,<span style=color:red>초과</span>,전선,Y,1245,3,17,01,A1000
DD808,월 6 7 8,정보보호개론,3,김희열,01@1248@00000,<span style=color:red>초과</span>,전선,Y,1248,3,18,01,A1000
DD808,화 1 2 3,정보보호개론,3,김희열,01@1249@00000,<span style=color:red>초과</span>,전선,Y,1249,3,19,01,A1000
DD808,목 6 7 8,정보보호개론,3,김희열,01@1250@00000,<span style=color:red>초과</span>,전선,Y,1250,3,20,01,A1000
DD026,목 1 2 3,멀티미디어처리기술,3,전준철,01@1251@00000,,컴터,Y,1251,4,21,01,A1000
DD729,화 6 7 8,데이터베이스프로그래밍,3,권준희,01@1253@00000,<span style=color:red>초과</span>,컴터,Y,1253,4,22,01,A1000
DD826,목 1 2 3,차세대프로그래밍언어,3,이은정,01@1254@00000,<span style=color:red>초과</span>,컴터,Y,1254,4,23,01,A1000
DD827,수 1 2 3,블록체인DApp설계,3,&nbsp;,01@1255@00000,,컴터,Y,1255,4,24,01,A1000
DD828,월 1 2 3,응용보안,3,&nbsp;,01@1256@00000,,컴터,Y,1256,4,25,01,A1000
DD844,화 1 2 3,정보시스템개발방법론,3,김광훈,01@1258@00000,,컴터,Y,1258,4,26,01,A1000
DD846,금 1 2 3,컴퓨터공학심화캡스톤디자인,3,김상진,01@1259@00000,<span style=color:red>초과</span>,컴터,Y,1259,4,27,01,A1000
DD846,금 1 2 3,컴퓨터공학심화캡스톤디자인,3,이한용,01@1260@00000,<span style=color:red>초과</span>,컴터,Y,1260,4,28,01,A1000
DD846,금 1 2 3,컴퓨터공학심화캡스톤디자인,3,김은한,01@1261@00000,,컴터,Y,1261,4,29,01,A1000
DD846,금 1 2 3,컴퓨터공학심화캡스톤디자인,3,최민규,01@1262@00000,<span style=color:red>초과</span>,컴터,Y,1262,4,30,01,A1000
EC748,목 6 7 8,데이터마이닝,3,유현,01@1263@00000,<span style=color:red>초과</span>,컴터,Y,1263,4,31,01,A1000
CS343,금 1 2 3,자료구조론,3,이은정,01@1210@00000,<span style=color:red>초과</span>,학선,,1210,2,1,01,A1000
CS343,목 6 7 8,자료구조론,3,이은정,01@1211@00000,<span style=color:red>초과</span>,학선,,1211,2,2,01,A1000
CS343,수 1 2 3,자료구조론,3,김남기,01@1212@00000,<span style=color:red>초과</span>,학선,,1212,2,3,01,A1000
CS343,화 1 2 3,자료구조론,3,김남기,01@1213@00000,<span style=color:red>초과</span>,학선,,1213,2,4,01,A1000
CS343,목 1 2 3,자료구조론,3,김남기,01@1214@00000,<span style=color:red>초과</span>,학선,,1214,2,5,01,A1000
CS343,수 1 2 3,자료구조론,3,김광훈,01@1215@00000,,학선,,1215,2,6,01,A1000
DD017,목 1 2 3,이산수학,3,&nbsp;,01@1216@00000,<span style=color:red>초과</span>,학선,,1216,2,7,01,A1000
DD017,수 1 2 3,이산수학,3,&nbsp;,01@1217@00000,<span style=color:red>초과</span>,학선,,1217,2,8,01,A1000
DD017,화 1 2 3,이산수학,3,황윤선,01@1219@00000,<span style=color:red>초과</span>,학선,,1219,2,9,01,A1000
DD725,수 6 7 8,웹프로그래밍,3,정경용,01@1220@00000,<span style=color:red>초과</span>,학선,,1220,2,10,01,A1000
DD725,수 1 2 3,웹프로그래밍,3,정경용,01@1221@00000,<span style=color:red>초과</span>,학선,,1221,2,11,01,A1000
DD725,월 6 7 8,웹프로그래밍,3,정경용,01@1222@00000,<span style=color:red>초과</span>,학선,,1222,2,12,01,A1000
DD725,화 1 2 3,웹프로그래밍,3,정경용,01@1223@00000,<span style=color:red>초과</span>,학선,,1223,2,13,01,A1000
EF624,화 6 7 8,컴퓨터구조,3,윤익준,01@1224@00000,<span style=color:red>초과</span>,학선,,1224,2,14,01,A1000
EF624,화 1 2 3,컴퓨터구조,3,안진호,01@1225@00000,<span style=color:red>초과</span>,학선,,1225,2,15,01,A1000
EF624,수 6 7 8,컴퓨터구조,3,안진호,01@1226@00000,<span style=color:red>초과</span>,학선,,1226,2,16,01,A1000
EF624,목 1 2 3,컴퓨터구조,3,안진호,01@1227@00000,<span style=color:red>초과</span>,학선,,1227,2,17,01,A1000
DD848,화 5,AI컴퓨터공학부전공및진로탐색,1,나관상,01@1828@00000,,학필,,1828,1,18,01,A1000
DD848,화 5,AI컴퓨터공학부전공및진로탐색,1,&nbsp;,01@1829@00000,,학필,,1829,1,19,01,A1000
DD848,화 5,AI컴퓨터공학부전공및진로탐색,1,이한용,01@1830@00000,,학필,,1830,1,20,01,A1000
